AGED A/R REPORT SUMMARY,,,,,,Date:10/03/2024
CUST.#,NAME,A/R BALANCE,INV.AMT,PAYMENTS,DEB/CRED,FUTURES,CURRENT,1-30,31-60,61-90,OVER-90

121CA   ,CHARLOTTE APPLIANCE,519060.37 ,147089.13 
122PC   ,DAVID'S SUPPLIES,13000.89 ,10009.43 
123BC   ,BIG CENTRIC HOME APPL,54204.66 ,47073.48 
124NA   ,NATIONAL APPLIANCE WHSE,73881.70 ,96319.67 
125DW   ,DELAWARE APPL DISTRIB,0.00 ,4170.42 
126HM   ,B AND H THE HOME MARKET,0.00 ,28705.36 
127NF   ,N.F.LANDIS AND SON INC,56671.41 ,54480.13 
128LO   ,LONGACRE ELECTRICAL,0.00 ,7216.19 
129HH   ,H AND H FURN AND APPL,3994.84 ,8306.05 
130PH   ,PETERS HOME APPLIANCE CT,12549.36 ,17336.80 
131CM   ,COASTAL MAYTAG,0.00 ,103164.27 
132OB   ,OBERG AND LINQUIST,71553.35 ,61897.50 
133FD   ,F AND D ENTERPRISES,21297.72 ,14149.01 
134SS   ,S AND S APPLIANCE,102208.43 ,42332.20 
135VA   ,AUDIO VIDEO APPL CENTER,96093.56-,4604.70-
136SY   ,DAVE'S TV AND APPLIANCE,2640.89 ,13533.84 
137BT   ,BEITERS HOME CENTER,9184.62 ,11707.82 
138PF   ,PARK FURNITURE STORE,47416.17 ,42798.23 
139HB   ,HOMETOWN BRAND CENTER,41693.58 ,41255.31 
13AG    ,APPLIANCE GALLERY       ,51665.38 ,64894.92 
140MU   ,MUNDEL'S APPLIANCE,0.00 ,8227.66 
141GN   ,GOCHNAUER HOME APPL. CT,15927.09 ,41051.85 
142DY   ,DALYS APPLIANCE,51964.93 ,50687.82 
143FI   ,FINCH SERVICES INC.,0.00 ,70.37 
144PS   ,PARKERS APPLIANCE,13533.26 ,3339.45 
145AL   ,ALL MAKE APPLIANCE SALES,64864.19 ,41888.12 
146DA   ,DAYS HOME FURN AND APPL,0.00 ,24664.50 
147HI   ,HIGHWAY APPLIANCE CO.,32008.12 ,17397.81 
148FH   ,FRIEDHABER,23260.39 ,12307.18 
149LA   ,LESHER'S APPLIANCE INC.,20132.91 ,25288.61 
14CT    ,ADAM'S TV AND APPL. INC,19297.32 ,29856.12 
